"Mes","Puerto","Canarias-Cargadas","Canarias-Descargadas","Canarias-Tránsito","Nacional-Cargadas","Nacional-Descargadas","Nacional-Tránsito","UE-Cargadas","UE-Descargadas","UE-Transbordos","UE-Tránsito","Resto-Cargadas","Resto-Descargadas","Resto-Transbordos","Resto-Tránsito"
"2017-11","LA ESTACA (EL HIERRO)",1785.85,4031.61,0,0,48.53,0,0,0,0,0,0,0,0,0
"2017-11","LOS CRISTIANOS",32061.59,14486.21,0,0,0,0,0,0,0,0,0,0,0,0
"2017-11","S/C DE LA PALMA",9206.97,39939.21,0,19064.06,5307.43,18.7,8.23,111.38,0,0,0,331.86,0,0
"2017-11","S/C DE TENERIFE",211135.82,85572.64,14.3,76220.27,359294.07,30641.43,7624.74,97027.33,0,3711.34,4629.45,61063.7,0,14418.08
"2017-11","S/S DE LA GOMERA",5912.35,10007.91,994.8,0,0,0,0,0,0,0,0,0,0,0
"2017-12","LA ESTACA (EL HIERRO)",1726.42,3294.62,0,0,0,0,0,0,0,0,0,0,0,0
"2017-12","LOS CRISTIANOS",27663.29,12761.6,0,0,0,0,0,0,0,0,0,0,0,0
"2017-12","S/C DE LA PALMA",8423.19,35951.95,0,17113.57,5120.26,0,3.29,140.7,0,0,0,97.99,0,0
"2017-12","S/C DE TENERIFE",194562.55,78736.29,0,73050.72,376841.67,24524.86,5173.48,129957.81,0,1387.17,6623.59,11242.94,0,37443.27
"2017-12","S/S DE LA GOMERA",5041.53,10216.91,696.92,0,0,0,0,0,0,0,0,0,0,0
"2018-01","LA ESTACA (EL HIERRO)",1737.36,3461.82,0,0,0,0,0,0,0,0,0,0,0,0
"2018-01","LOS CRISTIANOS",30960.08,14033.94,0,0,0,0,0,0,0,0,0,0,0,0
"2018-01","S/C DE LA PALMA",9548.83,36174.87,0,18983.59,5172.54,0,28.02,55.38,0,0,0,32.91,0,0
"2018-01","S/C DE TENERIFE",205690.62,85903.55,0,76828.75,369287.21,20653.93,2551.79,110088.31,0,408.04,4863.35,21060.88,0,35851.8
"2018-01","S/S DE LA GOMERA",6028.35,10485.18,578.49,0,0,0,0,0,0,0,0,0,0,0
