"Mes","Puerto","Canarias-Cargadas","Canarias-Descargadas","Canarias-Tránsito","Nacional-Cargadas","Nacional-Descargadas","Nacional-Tránsito","UE-Cargadas","UE-Descargadas","UE-Transbordos","UE-Tránsito","Resto-Cargadas","Resto-Descargadas","Resto-Transbordos","Resto-Tránsito"
"2020-08","S/C DE LA PALMA",10668.93,36578.51,0,17665.85,4621.31,0,40.14,41.07,0,0,0,0,0,0
"2020-08","S/C DE TENERIFE",119008.19,66702.86,346.46,61347.19,362752.26,7303.83,4042.3,40833.68,0,259.95,28972.92,50463.48,1548.24,24801.81
"2020-08","S/S DE LA GOMERA",5007.56,10768.93,165.4,0,0,0,0,0,0,0,0,0,0,0
"2020-09","LA ESTACA (EL HIERRO)",2772.29,4532.7,399.58,0,0,0,0,0,0,0,0,0,0,0
"2020-09","LOS CRISTIANOS",33335.57,15282.11,393,0,0,0,0,0,0,0,0,0,0,0
"2020-09","S/C DE LA PALMA",10801.36,35850.05,1511.5,17067.64,5213.81,0,34.5,53.75,0,0,0,24.15,0,0
"2020-09","S/C DE TENERIFE",116654.76,64761.24,434.3,63331.52,300875.73,5181.96,845.27,45179.32,0,193.92,22974.17,10227.91,0,27412.16
"2020-09","S/S DE LA GOMERA",4801.06,9930.77,1158.48,0,0,0,0,0,0,0,0,0,0,0
"2020-10","LA ESTACA (EL HIERRO)",2421.29,4731.04,0,0,0,0,0,0,0,0,0,0,0,0
"2020-10","LOS CRISTIANOS",31670.17,14973.7,487.03,0,0,0,0,0,0,0,0,0,0,0
"2020-10","S/C DE LA PALMA",10742.63,36045.44,0,17478.86,5134.04,0,23.56,191.79,0,0,0,13.65,0,0
"2020-10","S/C DE TENERIFE",110814.57,64604.59,553.05,69630.52,312220.98,7292.59,3834.6,48741.06,0,592.54,27305.18,10267.17,1074.03,76919.93
"2020-10","S/S DE LA GOMERA",4418.03,10108.9,140,0,0,0,0,0,0,0,0,0,0,0
"2020-11","LA ESTACA (EL HIERRO)",2662.93,5064.88,0,0,0,0,0,0,0,0,0,0,0,0
"2020-11","LOS CRISTIANOS",32940.73,14942.35,463,0,0,0,0,0,0,0,0,0,0,0
"2020-11","S/C DE LA PALMA",10122.43,34074.44,0,16113.23,4413.32,0,26.6,77.84,0,0,0,8.8,0,0
"2020-11","S/C DE TENERIFE",125414.38,69650.95,2174.99,73924.01,274965.86,9169.22,4132.97,83944.48,0,142.85,21117.22,11415.59,0,33346.81
"2020-11","S/S DE LA GOMERA",4928.16,10649.82,88,0,0,0,0,0,0,0,0,0,0,0
"2020-12","LA ESTACA (EL HIERRO)",2626.93,4647.78,0,0,0,0,0,0,0,0,0,0,0,0
"2020-12","LOS CRISTIANOS",34081.87,16233.86,512.81,0,0,0,0,0,0,0,0,0,0,0
"2020-12","S/C DE LA PALMA",10790.57,37571.17,30,15045.64,4938.42,0,26.5,64.17,0,0,0,506.3,0,0
"2020-12","S/C DE TENERIFE",118735.55,70644.71,883.41,72176.77,389160.26,6380.91,2098.49,46211.77,0,2439.14,24209.63,9994.48,0,31578.23
"2020-12","S/S DE LA GOMERA",4763.15,10737.84,288.62,0,0,0,0,0,0,0,0,0,0,0
"2021-01","LA ESTACA (EL HIERRO)",2052.42,4455.16,0,0,0,0,0,0,0,0,0,0,0,0
"2021-01","LOS CRISTIANOS",32174.3,13887.89,460.11,0,0,0,0,0,0,0,0,0,0,0
"2021-01","S/C DE LA PALMA",10050.67,34848.62,0,16015.55,4783.02,0,0,56.22,0,0,0,7.6,0,0
"2021-01","S/C DE TENERIFE",99131.22,61707.66,678.07,70488.8,325181.59,6175.86,1330.77,83598.05,0,2303.44,29908.46,11648,0,72232.84
"2021-01","S/S DE LA GOMERA",4615.63,10383.73,317.86,0,0,0,0,0,0,0,0,0,0,0
"2021-02","LA ESTACA (EL HIERRO)",2358.56,4899.37,0,0,0,0,0,0,0,0,0,0,0,0
"2021-02","LOS CRISTIANOS",31540.22,14264.15,640.29,0,0,0,0,0,0,0,0,0,0,0
"2021-02","S/C DE LA PALMA",9865.38,34576.53,0,16864.09,6118.38,0,26.5,76.18,0,0,0,0,0,0
"2021-02","S/C DE TENERIFE",89581.24,60652.53,926.47,77991.85,269459.64,6810.95,4790.67,35480.4,0,286.15,23222.78,8454.5,0,20632.87
"2021-02","S/S DE LA GOMERA",5056.44,10674.27,14,0,0,0,0,0,0,0,0,0,0,0
